GEO_ID,Bachelor,Poverty,OldHousing,Black,SimpsonsDI,VacantHousing,OwnerOccupied,FamiliesWithChildren,Pct5Plus
42101016701,5.6,44.3,84.5,97.5,0.04918200000000002,33.6,55.7,17.4,13.1
42101016702,2.5,39.5,79.6,89.5,0.191974,23.1,50.6,21.5,9.9
42101016800,7.8,33.6,76.8,93.7,0.13118200000000013,24.3,50.2,24.6,11.7
42101016901,2.2,41.9,88.2,96.0,0.07769800000000003,25.9,52.1,22.5,16.1
42101016902,6.5,35.4,76.6,97.1,0.15755000000000008,28.9,40.5,29.3,13.8
42101017000,16.4,26.5,60.099999999999994,76.2,0.393127,8.5,37.7,16.3,8.5
42101017100,5.2,31.6,76.7,94.5,0.10546700000000005,17.7,73.4,21.8,11.7
42101017201,3.7,50.8,89.69999999999999,95.0,0.09650400000000003,25.5,60.8,27.3,12.8
42101017202,4.6,45.1,79.9,93.4,0.12478299999999995,32.5,56.1,23.5,12.1
42101017300,8.7,48.0,77.6,96.7,0.10348099999999993,17.3,54.3,19.6,12.2
42101017400,3.3,50.4,60.3,93.3,0.12660100000000005,20.7,55.9,20.0,11.3
42101017500,2.5,58.9,69.6,34.5,0.712832,13.7,46.9,28.4,6.0
42101017601,2.6,59.6,71.2,12.2,0.6270529999999999,17.8,49.4,32.0,5.3
42101017602,3.2,61.4,69.4,14.0,0.7141839999999999,10.9,42.6,41.5,7.7
42101017701,2.6,46.1,68.4,31.4,0.757056,29.0,37.1,32.2,10.4
42101017702,5.9,71.0,69.89999999999999,23.2,0.759182,14.7,38.9,43.8,7.7
42101017800,2.6,58.3,76.6,26.1,0.7906340000000001,18.0,41.3,34.2,7.7
42101017900,11.1,38.8,78.3,41.1,0.718052,9.1,48.7,29.9,7.7
42101018001,17.4,23.9,73.0,1.5,0.17019000000000004,13.2,65.4,30.5,5.0
42101018002,20.3,20.8,80.8,0.0,0.17095799999999997,11.1,71.0,20.6,2.9
42101018800,3.6,61.5,71.6,31.5,0.807265,17.1,54.4,47.2,8.9
42101019000,7.2,39.7,48.2,20.6,0.8164830000000001,9.2,50.0,46.3,5.3
42101019100,8.2,33.0,41.4,13.9,0.791401,5.1,66.8,35.2,1.2
42101019200,5.2,51.0,70.7,37.6,0.7923610000000001,16.9,36.8,53.4,7.4
42101019501,0.4,61.4,42.2,13.4,0.7043330000000001,6.2,27.7,36.9,5.8
42101019502,0.9,62.4,72.8,18.2,0.7181199999999999,19.6,37.2,35.5,6.9
42101019700,5.3,53.5,76.7,47.8,0.732557,6.9,47.9,32.9,8.7
42101019800,3.1,48.1,71.9,35.5,0.7708619999999999,9.0,47.2,33.7,8.9
42101019900,5.6,58.9,64.8,38.8,0.725862,20.3,53.0,35.0,9.3
42101020000,14.9,44.0,61.8,77.7,0.4208200000000001,34.8,31.5,26.7,17.6
42101020101,5.9,33.6,48.400000000000006,97.0,0.10592800000000004,27.4,38.8,11.9,12.8
42101020102,8.5,31.9,72.2,92.4,0.17408900000000013,23.9,45.2,25.6,11.4
42101020200,6.4,31.4,71.3,96.7,0.06406199999999992,19.1,37.5,15.0,13.2
42101020300,8.5,45.0,68.2,97.0,0.058882000000000025,26.7,41.2,30.6,15.5
42101020400,5.6,30.7,62.9,94.7,0.10031599999999993,18.0,48.3,17.5,16.4
42101020500,4.3,21.4,54.1,81.8,0.34205199999999986,16.0,50.6,17.9,9.2
