GEO_ID,Poverty,Bachelor,White,White-NH,Black,Black-NH,Asian,Asian-NH,AmericanIndian,AmericanIndian-NH,NHPI,NHPI-NH,Other,Other-NH,Multi,Multi-NH,Pre-1939 Housing,1939-1949 Housing,VacantHousing,OwnerOccupied,FamiliesWithChildren,White-H,Black-H,Asian-H,AmericanIndian-H,NHPI-H,Other-H,Multi-H,SimpsonsDI,OldHousing
42101019000,39.7,7.2,34.0,9.7,20.6,13.8,4.6,4.6,0.0,0.0,0.2,0.0,30.5,1.8,10.0,3.3,30.2,18.0,9.2,50.0,46.3,24.3,6.800000000000001,0.0,0.0,0.2,28.7,6.7,0.8164830000000001,48.2
42101019100,33.0,8.2,42.3,18.4,13.9,12.7,12.6,12.2,0.0,0.0,0.8,0.0,29.2,0.0,1.1,0.0,18.7,22.7,5.1,66.8,35.2,23.9,1.200000000000001,0.40000000000000036,0.0,0.8,29.2,1.1,0.791401,41.4
42101019200,51.0,5.2,29.6,5.1,37.6,27.8,1.4,1.4,4.6,4.6,0.2,0.0,23.3,0.0,3.2,1.8,64.5,6.2,16.9,36.8,53.4,24.5,9.8,0.0,0.0,0.2,23.3,1.4000000000000001,0.7923610000000001,70.7
42101019501,61.4,0.4,35.8,2.6,13.4,10.5,0.0,0.0,4.6,1.0,0.2,0.0,41.0,0.0,4.9,0.0,38.2,4.0,6.2,27.7,36.9,33.199999999999996,2.9000000000000004,0.0,3.5999999999999996,0.2,41.0,4.9,0.7043330000000001,42.2
42101019502,62.4,0.9,50.4,11.7,18.2,17.1,0.0,0.0,0.0,0.0,0.0,0.0,29.8,0.0,1.6,0.0,63.2,9.6,19.6,37.2,35.5,38.7,1.0999999999999979,0.0,0.0,0.0,29.8,1.6,0.7181199999999999,72.8
42101019700,53.5,5.3,18.3,2.8,47.8,37.7,1.3,1.3,0.2,0.0,0.0,0.0,30.1,0.0,2.4,0.1,63.5,13.2,6.9,47.9,32.9,15.5,10.099999999999994,0.0,0.2,0.0,30.1,2.3,0.732557,76.7
42101019800,48.1,3.1,18.1,1.3,35.5,28.0,2.8,1.9,1.1,0.5,2.0,0.0,33.4,0.0,7.1,0.6,52.8,19.1,9.0,47.2,33.7,16.8,7.5,0.8999999999999999,0.6000000000000001,2.0,33.4,6.5,0.7708619999999999,71.9
42101019900,58.9,5.6,22.4,1.0,38.8,35.3,0.0,0.0,2.8,0.1,0.0,0.0,31.7,0.0,4.3,1.0,53.0,11.8,20.3,53.0,35.0,21.4,3.5,0.0,2.6999999999999997,0.0,31.7,3.3,0.725862,64.8
42101020000,44.0,14.9,13.3,2.2,77.7,75.0,4.7,4.7,0.0,0.0,0.0,0.0,2.4,0.0,1.9,0.0,49.9,11.9,34.8,31.5,26.7,11.100000000000001,2.700000000000003,0.0,0.0,0.0,2.4,1.9,0.4208200000000001,61.8
42101020101,33.6,5.9,1.1,0.6,97.0,94.5,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,22.3,27.4,38.8,11.9,0.5000000000000001,2.5,0.0,0.0,0.0,0.0,0.0,0.10592800000000004,48.400000000000006
42101020102,31.9,8.5,4.1,4.1,92.4,90.8,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,2.9,1.9,59.4,12.8,23.9,45.2,25.6,0.0,1.6000000000000085,0.0,0.0,0.0,0.7,1.0,0.17408900000000013,72.2
42101020200,31.4,6.4,3.1,2.9,96.7,96.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,55.6,15.7,19.1,37.5,15.0,0.20000000000000018,0.0,0.0,0.0,0.0,0.2,0.0,0.06406199999999992,71.3
42101020300,45.0,8.5,1.5,0.6,97.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.9,0.9,53.1,15.1,26.7,41.2,30.6,0.9,0.0,0.0,0.0,0.0,0.39999999999999997,0.0,0.058882000000000025,68.2
42101020400,30.7,5.6,0.5,0.5,94.7,94.7,0.0,0.0,0.7,0.7,0.0,0.0,2.4,0.0,1.5,1.5,44.9,18.0,18.0,48.3,17.5,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.10031599999999993,62.9
42101020500,21.4,4.3,9.4,5.2,81.8,80.7,2.4,2.4,2.5,2.5,0.0,0.0,1.0,0.8,2.9,2.9,39.0,15.1,16.0,50.6,17.9,4.2,1.0999999999999943,0.0,0.0,0.0,0.19999999999999996,0.0,0.34205199999999986,54.1
